,Unnamed: 0,بخش اول- مهارت ها,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,بخش دوم - شخصیت سنجی - برگرفته از آزمون MBTI- karboom.io,Unnamed: 10,Unnamed: 11,Unnamed: 12,clusters
0,2,9,0,1,1,4,1,1,1,E,N,T,J,0
1,3,6,1,4,3,4,0,0,1,I,N,T,P,1
2,4,1,0,2,1,1,1,0,1,I,S,F,P,1
3,5,7,1,2,3,2,1,1,1,I,S,T,P,2
4,6,1,1,1,3,1,1,1,1,I,S,T,P,1
5,7,1,0,1,2,1,1,0,1,I,S,T,P,1
6,8,4,0,1,1,2,1,1,1,I,N,T,P,1
7,9,7,1,2,2,3,1,1,1,I,S,T,P,1
8,10,5,1,2,2,2,1,1,0,I,S,T,P,1
9,11,7,1,2,2,4,1,1,1,I,S,T,P,1
10,12,7,1,2,2,3,1,1,1,I,S,T,P,3
11,13,3,1,4,3,3,1,1,1,I,S,T,P,3
12,14,7,1,2,1,2,1,1,1,I,S,T,P,1
13,15,3,0,1,2,2,1,0,1,E,S,T,J,4
14,16,1,0,1,2,1,1,1,1,I,S,T,P,2
15,17,2,1,3,2,3,1,1,1,E,N,F,J,5
16,18,1,1,2,2,2,1,1,1,I,S,T,P,-1
17,19,3,1,2,2,1,1,1,1,I,S,T,P,6
18,20,5,1,2,2,1,1,0,1,I,S,T,P,6
19,21,2,0,2,3,1,1,1,1,E,N,T,J,-1
20,22,3,0,2,1,1,1,1,1,I,S,T,P,3
21,23,1,0,2,1,1,1,0,1,I,S,T,P,1
22,24,2,0,2,1,2,1,0,1,I,S,T,P,7
23,25,2,1,2,3,3,1,0,1,E,N,F,J,5
24,26,9,0,1,3,1,1,1,1,I,S,T,P,3
25,27,2,1,2,2,1,1,1,0,I,S,F,P,1
26,28,3,0,4,3,3,1,1,1,E,S,T,J,4
27,29,10,0,1,2,1,1,0,1,E,S,T,J,1
28,30,10,1,2,2,3,1,1,1,I,S,T,P,3
29,31,3,0,2,2,3,1,1,1,I,S,T,P,3
30,32,7,0,1,3,4,1,1,1,I,N,F,P,8
31,33,2,1,1,1,3,1,0,1,E,N,T,J,-1
32,34,11,0,1,1,1,1,1,1,I,N,T,P,0
33,35,4,0,1,2,4,1,1,1,E,S,T,J,4
34,36,3,0,1,1,3,1,0,1,I,S,T,P,3
35,37,10,1,2,2,1,1,0,1,I,N,T,P,1
36,38,3,1,2,2,1,1,1,1,I,S,T,P,3
37,39,3,0,2,1,1,1,1,1,I,N,F,P,8
38,40,7,0,3,2,3,1,1,1,E,S,T,J,0
39,41,4,0,1,1,2,1,1,1,I,S,T,P,7
40,42,7,0,4,2,2,1,1,1,I,S,T,P,3
41,43,3,0,2,2,3,1,1,1,E,N,F,J,5
42,44,7,0,1,2,3,1,1,1,E,N,F,J,5
43,45,2,0,2,2,3,1,1,1,I,N,T,P,3
44,46,2,0,2,1,3,1,0,1,I,N,T,P,1
45,47,2,1,2,3,2,1,0,1,I,N,T,P,1
46,48,7,0,2,2,3,1,0,0,E,S,T,J,0
47,49,10,0,1,1,2,1,1,1,I,S,T,P,3
48,50,5,0,1,3,2,1,1,1,I,S,T,P,9
49,51,5,1,2,2,1,1,1,1,I,N,T,P,1
50,52,2,1,1,2,1,1,1,1,I,S,T,P,3
51,53,3,1,1,1,1,0,0,1,I,N,T,P,1
52,54,2,1,4,1,2,1,1,1,I,N,T,P,1
53,55,2,0,2,2,1,1,0,1,I,S,T,P,3
54,56,2,0,1,2,1,1,0,1,I,S,T,P,1
55,57,3,0,1,1,2,1,1,1,I,N,T,P,-1
56,58,12,0,1,1,3,1,1,1,E,N,T,J,10
57,59,9,1,1,1,1,1,1,1,I,N,T,P,1
58,60,2,0,2,1,1,1,1,1,I,S,T,P,9
59,61,13,1,2,2,1,1,0,1,I,S,T,P,1
60,62,12,0,2,1,3,1,1,1,I,N,F,P,8
61,63,2,0,2,3,3,1,0,1,E,S,T,J,0
62,64,2,1,1,2,1,1,1,1,E,S,F,J,-1
63,65,2,1,2,2,3,1,1,1,E,S,T,J,-1
64,66,7,1,4,3,3,1,1,1,I,S,T,P,1
65,67,9,0,1,2,1,1,1,0,E,N,T,J,1
66,68,2,1,1,1,4,1,1,1,E,S,T,J,0
67,69,14,1,2,3,3,1,1,1,E,N,T,J,0
68,70,5,0,1,2,3,0,1,1,I,S,T,P,3
69,71,14,1,1,2,1,1,1,1,E,N,T,J,1
70,72,1,1,1,1,1,0,0,1,I,S,T,P,7
71,73,9,1,4,2,1,1,0,1,I,S,T,P,3
72,74,2,0,2,3,2,1,1,1,E,N,T,J,10
73,75,2,1,4,2,1,1,1,1,E,N,T,J,1
74,76,6,1,1,3,1,1,1,1,I,S,T,P,3
75,77,12,1,1,2,4,1,1,1,E,N,T,J,-1
76,78,2,0,1,3,2,1,1,1,I,S,T,P,3
77,79,2,1,2,1,2,1,0,1,I,N,T,P,1
78,80,9,1,1,2,1,1,0,1,I,N,T,P,9
79,81,6,1,3,2,2,1,0,1,I,S,T,P,1
